Date,Volume
2012-06-29,10922400
2012-07-02,656700
2012-07-03,401100
2012-07-05,541000
2012-07-06,355100
2012-07-09,152400
2012-07-10,304000
2012-07-11,296500
2012-07-12,325500
2012-07-13,89100
2012-07-16,118100
2012-07-17,227500
2012-07-18,103800
2012-07-19,254500
2012-07-20,260900
2012-07-23,603400
2012-07-24,291500
2012-07-25,110800
2012-07-26,158000
2012-07-27,100100
2012-07-30,84300
2012-07-31,284000
2012-08-01,111900
2012-08-02,556900
2012-08-03,431000
2012-08-06,583800
2012-08-07,198000
2012-08-08,296700
2012-08-09,135500
2012-08-10,220000
2012-08-13,214900
2012-08-14,552400
2012-08-15,467800
2012-08-16,300500
2012-08-17,389300
2012-08-20,277700
2012-08-21,196700
2012-08-22,617800
2012-08-23,292200
2012-08-24,145600
2012-08-27,260000
2012-08-28,152500
2012-08-29,116600
2012-08-30,186500
2012-08-31,286000
2012-09-04,332800
2012-09-05,331700
2012-09-06,396200
2012-09-07,411000
2012-09-10,457300
2012-09-11,288500
2012-09-12,350500
2012-09-13,460400
2012-09-14,724100
2012-09-17,812300
2012-09-18,678000
2012-09-19,406300
2012-09-20,739400
2012-09-21,353400
2012-09-24,378700
2012-09-25,605400
2012-09-26,853900
2012-09-27,478800
2012-09-28,1582500
2012-10-01,903900
2012-10-02,586700
2012-10-03,283100
2012-10-04,145700
2012-10-05,449500
2012-10-08,251400
2012-10-09,505300
2012-10-10,446000
2012-10-11,267300
2012-10-12,597700
2012-10-15,754800
2012-10-16,503300
2012-10-17,684500
2012-10-18,261500
2012-10-19,534600
2012-10-22,721200
2012-10-23,440100
2012-10-24,604600
2012-10-25,1953900
2012-10-26,601700
2012-10-31,568900
2012-11-01,788600
2012-11-02,450200
2012-11-05,345100
2012-11-06,462300
2012-11-07,532700
2012-11-08,288000
2012-11-09,410200
2012-11-12,537300
2012-11-13,551000
2012-11-14,502900
2012-11-15,7050800
2012-11-16,1798600
2012-11-19,1238600
2012-11-20,981200
2012-11-21,1658500
2012-11-23,186700
2012-11-26,790800
2012-11-27,1097400
2012-11-28,446200
2012-11-29,715800
2012-11-30,2460400
2012-12-03,1012200
2012-12-04,1279000
2012-12-05,1314800
2012-12-06,651500
2012-12-07,373900
2012-12-10,191000
2012-12-11,471900
2012-12-12,834600
2012-12-13,410300
2012-12-14,374000
2012-12-17,382800
2012-12-18,834000
2012-12-19,439400
2012-12-20,343900
2012-12-21,622600
2012-12-24,675400
2012-12-26,3430400
2012-12-27,1234900
2012-12-28,1107000
2012-12-31,1247300
2013-01-02,1525500
2013-01-03,863100
2013-01-04,1034400
2013-01-07,2517000
2013-01-08,2826800
2013-01-09,1430400
2013-01-10,691200
2013-01-11,1133800
2013-01-14,1047100
2013-01-15,1239100
2013-01-16,798000
2013-01-17,953100
2013-01-18,392000
2013-01-22,905700
2013-01-23,601600
2013-01-24,1730100
2013-01-25,1529400
2013-01-28,944900
2013-01-29,1111000
2013-01-30,2502000
2013-01-31,3539400
2013-02-01,8243400
2013-02-04,1650300
2013-02-05,1909700
